Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C3, C4, C5, C6, C7, C8, C9",0603,20,33n,C21117
"C21, C31",CP_EIA-3528-21_Kemet-B,2,100uF,C16133
"C23, C24, C25, C32",0603,4,100nF,C14858
C26,0603,1,1uF,C15849
"C27, C28",0603,2,33nF,C21117
C29,0603,1,10uF,C14858
C30,0603,1,22uF,C59461
J1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,CT1,C265283
J10,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,CT10,C265283
J11,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",1,LINE,C128027
J12,PinHeader_2x10_P2.54mm_Vertical,1,Conn_02x10_Odd_Even,C5454488
J13,PinHeader_2x10_P2.54mm_Vertical,1,Conn_02x10_Odd_Even,C239361
J14,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",1,NEUTRAL,C128027
J2,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,CT2,C265283
J3,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,CT3,C265283
J4,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,CT4,C265283
J5,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,CT5,C265283
J6,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,CT6,C265283
J7,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,CT7,C265283
J8,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,CT8,C265283
J9,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,CT9,C265283
"R1, R12, R13, R18, R19, R24, R25, R30, R31, R36, R37, R4, R42, R43, R48, R49, R54, R55, R60, R61, R9",0603,21,0R,C21189
"R10, R11, R16, R17, R22, R23, R28, R29, R34, R35, R40, R41, R46, R47, R52, R53, R58, R59, R69, R7, R70, R8",0603,22,1K/1%,C21190
"R14, R15, R2, R20, R21, R26, R27, R3, R32, R33, R38, R39, R44, R45, R5, R50, R51, R56, R57, R6",0603,20,5.1R/0.5%,C657209
R62,0603,1,2K,C22975
"R63, R64, R65, R66, R67",0603,5,22K/1%,C31850
R68,0603,1,100/0.5%,C22775
T1,ZMPT107-1,1,ZMPT107-1,C125191
U1,LQFP-48_7x7mm_P0.5mm,1,BL-0910,C2841006
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
