Designator,Mid X,Mid Y,Rotation,Layer
C1,55.85,-66.675,0.0,top
C10,80.35,-66.175,0.0,top
C11,46.25,-56.675,0.0,top
C12,40.75,-56.675,0.0,top
C13,55.725,-57.425,0.0,top
C14,50.225,-57.425,0.0,top
C15,65.75,-57.25,0.0,top
C16,60.25,-57.25,0.0,top
C17,75.75,-57.0,0.0,top
C18,70.25,-57.0,0.0,top
C19,85.75,-57.75,0.0,top
C2,45.6,-66.625,0.0,top
C20,80.25,-57.75,0.0,top
C21,91.0,-105.0,180.0,top
C23,75.6875,-94.3875,90.0,top
C24,82.4375,-88.45,180.0,top
C25,75.6,-78.45,270.0,top
C26,65.4375,-82.45,180.0,top
C27,61.0,-85.5,0.0,top
C28,60.8,-82.4,180.0,top
C29,74.3375,-103.25,180.0,top
C3,40.5,-66.625,0.0,top
C30,91.3375,-95.25,0.0,top
C31,91.0,-100.0,180.0,top
C32,82.4375,-90.45,180.0,top
C4,50.35,-66.925,0.0,top
C5,65.85,-66.675,0.0,top
C6,60.35,-66.675,0.0,top
C7,75.6,-66.675,0.0,top
C8,70.1,-66.675,0.0,top
C9,85.85,-66.175,0.0,top
J1,42.25,-35.525,0.0,top
J10,82.3,-44.525,0.0,top
J11,44.0,-110.0,0.0,top
J12,34.275,-73.345,0.0,top
J13,92.275,-73.345,0.0,top
J14,60.5,-110.0,0.0,top
J2,52.25,-35.525,0.0,top
J3,62.25,-35.525,0.0,top
J4,72.25,-35.525,0.0,top
J5,82.25,-35.525,0.0,top
J6,42.25,-44.525,0.0,top
J7,52.25,-44.525,0.0,top
J8,62.25,-44.525,0.0,top
J9,72.25,-44.525,0.0,top
R1,53.1,-61.925,90.0,top
R10,56.6,-63.925,270.0,top
R11,49.6,-63.925,270.0,top
R12,53.1,-65.425,90.0,top
R13,63.1,-61.925,90.0,top
R14,65.85,-61.175,180.0,top
R15,60.35,-61.175,0.0,top
R16,66.6,-63.925,270.0,top
R17,59.6,-63.925,270.0,top
R18,63.1,-65.425,90.0,top
R19,72.85,-61.925,90.0,top
R2,55.85,-61.175,180.0,top
R20,75.6,-61.175,180.0,top
R21,70.1,-61.175,0.0,top
R22,76.35,-63.925,270.0,top
R23,69.35,-63.925,270.0,top
R24,72.85,-65.425,90.0,top
R25,83.1,-61.425,90.0,top
R26,85.85,-60.6,180.0,top
R27,80.35,-60.6,0.0,top
R28,86.6,-63.425,270.0,top
R29,79.6,-63.425,270.0,top
R3,50.275,-61.25,0.0,top
R30,83.1,-64.925,90.0,top
R31,43.5,-52.1,90.0,top
R32,46.25,-51.35,180.0,top
R33,40.675,-51.175,0.0,top
R34,47.0,-54.0,270.0,top
R35,40.0,-53.925,270.0,top
R36,43.5,-55.675,90.0,top
R37,53.0,-53.0,90.0,top
R38,55.75,-52.175,180.0,top
R39,50.175,-52.175,0.0,top
R4,43.1,-62.125,90.0,top
R40,56.5,-54.85,270.0,top
R41,49.5,-54.85,270.0,top
R42,53.0,-56.6,90.0,top
R43,63.0,-52.575,90.0,top
R44,65.75,-51.675,180.0,top
R45,60.175,-51.675,0.0,top
R46,66.5,-54.5,270.0,top
R47,59.5,-54.5,270.0,top
R48,63.0,-56.0,90.0,top
R49,73.0,-52.4,90.0,top
R5,45.6,-61.425,180.0,top
R50,75.825,-51.575,180.0,top
R51,70.25,-51.5,0.0,top
R52,76.5,-54.25,270.0,top
R53,69.5,-54.25,270.0,top
R54,73.0,-56.0,90.0,top
R55,83.0,-53.0,90.0,top
R56,85.75,-52.25,180.0,top
R57,80.25,-52.25,0.0,top
R58,86.5,-55.0,270.0,top
R59,79.5,-55.0,270.0,top
R6,40.5,-61.325,0.0,top
R60,83.0,-56.5,90.0,top
R61,79.3625,-92.6125,180.0,top
R62,65.4375,-84.45,180.0,top
R63,40.7,-95.025,90.0,top
R64,40.7,-99.525,90.0,top
R65,36.1,-102.875,270.0,top
R66,36.1,-99.05,270.0,top
R67,36.1,-95.05,270.0,top
R68,49.0,-80.0,0.0,top
R69,57.225,-85.5,0.0,top
R7,46.3,-64.125,270.0,top
R70,57.2,-82.4,0.0,top
R8,39.8,-64.025,270.0,top
R9,43.1,-65.425,90.0,top
T1,49.0,-92.0,90.0,top
U1,73.4375,-86.45,180.0,top
U3,82.3375,-101.25,180.0,top
